male,AGES,BOARD TOPPER,DASA,CGPA - 1,CGPA - 2,DVM,Gaming Club,Mountaineering,None,ICSE,Other,DAYS SINCE LAST SHOWER,TREATS GIVEN,HAS A S/O ?,ATTENDS LECTURES,LITE,PIZZERIA EXPENDITURE (annual),GRAMS / MONTH,GPL
1.0,0.25,0.0,0.0,0.83571434,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.8000001,1.0,1.0,0.0,1.0,0.9320685,0.4470046,0.0
0.0,0.5,0.0,1.0,0.57285714,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.06666667,0.25,1.0,0.0,0.0,0.10308571,0.004608295,1.0
0.0,0.375,0.0,0.0,0.0,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,1.0,1.0,0.0,0.0,0.38592,0.013824885,1.0
0.0,0.5,0.0,1.0,0.4928571,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,1.0,1.0,0.0,0.0,0.18194287,0.004608295,1.0
1.0,0.5,0.0,0.0,0.37857145,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.75,1.0,0.0,1.0,0.62450284,0.76958525,0.0
1.0,0.0,0.0,0.0,0.07285714,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.6120228,0.041474655,0.0
1.0,0.75,0.0,1.0,0.36,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.0,0.0,0.0,1.0,0.80319995,0.40092164,0.0
1.0,0.0,0.0,0.0,0.15142858,0.28571427,0.0,0.0,1.0,0.0,0.0,0.0,0.20000002,0.0,1.0,1.0,1.0,0.74724567,0.9815668,0.0
0.0,0.375,0.0,0.0,0.5585714,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,0.0,0.0,1.0,1.0,0.07963429,0.023041476,1.0
0.0,0.25,1.0,0.0,0.33857143,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.40000004,0.75,0.0,0.0,0.0,0.18285714,0.027649768,1.0
0.0,0.0,0.0,0.0,0.15428567,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.4666667,0.75,1.0,1.0,0.0,0.312,0.023041476,1.0
0.0,0.875,0.0,1.0,0.38714284,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,0.75,1.0,0.0,0.0,0.2816,0.032258064,1.0
1.0,0.25,0.0,0.0,0.11142856,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,1.0,0.0,0.0,1.0,1.0,0.6221198,0.0
1.0,0.5,0.0,0.0,1.0,0.57142854,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,0.0,0.0,1.0,1.0,0.8363885,0.9907834,0.0
0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.0,0.0,0.0,1.0,0.71103996,0.24423963,0.0
0.0,0.75,1.0,0.0,0.6471429,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.33333334,0.0,0.0,0.0,0.0,0.17298286,0.0,1.0
1.0,0.0,0.0,0.0,0.09285712,0.71428573,0.0,1.0,0.0,0.0,0.0,1.0,0.33333334,0.75,0.0,1.0,1.0,0.7230628,0.49308753,0.0
1.0,0.0,1.0,0.0,0.7757144,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.5,1.0,0.0,0.0,0.117714286,0.023041476,1.0
0.0,0.375,0.0,0.0,0.5928571,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,1.0,1.0,0.0,1.0,0.6627657,0.21658985,0.0
0.0,0.0,0.0,0.0,0.10428572,0.8571429,0.0,0.0,0.0,1.0,1.0,0.0,0.33333334,0.25,1.0,0.0,0.0,0.22514287,0.0,1.0
1.0,0.5,1.0,0.0,0.69571424,0.8571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,1.0,0.7338514,0.6221198,0.0
1.0,0.5,1.0,0.0,0.22428572,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.75,0.0,0.0,0.0,0.32982856,0.027649768,1.0
0.0,0.25,0.0,0.0,0.92714286,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.73333335,1.0,1.0,0.0,1.0,0.24621713,0.009216589,1.0
1.0,0.375,0.0,1.0,0.28428566,0.71428573,0.0,0.0,0.0,1.0,0.0,0.0,0.40000004,1.0,1.0,0.0,0.0,0.31524572,0.013824885,1.0
0.0,0.125,0.0,0.0,0.5214286,0.71428573,0.0,0.0,1.0,0.0,0.0,0.0,0.40000004,0.75,0.0,1.0,1.0,0.63940567,0.07834101,0.0
0.0,0.5,0.0,0.0,0.26428568,0.8571429,0.0,0.0,0.0,1.0,0.0,0.0,0.20000002,0.5,0.0,1.0,0.0,0.18061714,0.032258064,1.0
1.0,0.0,0.0,0.0,0.47714287,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.40000004,1.0,1.0,0.0,1.0,0.6730057,0.437788,0.0
1.0,0.25,0.0,1.0,0.33571428,0.8571429,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8199314,0.797235,0.0
0.0,0.0,0.0,0.0,0.80142856,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.53333336,0.0,1.0,0.0,0.0,0.21156572,0.004608295,1.0
1.0,0.0,0.0,0.0,0.73428583,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13333334,0.75,0.0,0.0,1.0,0.8058971,0.40092164,0.0
1.0,0.625,0.0,1.0,0.4928571,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.54102856,0.9723502,0.0
0.0,0.0,0.0,1.0,0.7257143,0.14285713,0.0,0.0,0.0,1.0,1.0,0.0,0.06666667,0.0,1.0,0.0,0.0,0.19350858,0.004608295,1.0
0.0,0.0,0.0,0.0,0.24571425,0.8571429,0.0,0.0,0.0,1.0,0.0,1.0,0.73333335,1.0,1.0,0.0,1.0,0.33312,0.032258064,1.0
1.0,0.875,1.0,0.0,0.39857143,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.9333334,1.0,0.0,0.0,1.0,0.71867424,0.61290324,0.0
1.0,0.375,0.0,1.0,0.9499999,0.14285713,0.0,0.0,0.0,1.0,1.0,0.0,0.6666667,0.25,1.0,0.0,0.0,0.60644567,0.21658985,0.0
1.0,0.625,0.0,1.0,0.4457143,0.42857146,0.0,0.0,0.0,1.0,0.0,0.0,0.26666668,0.25,1.0,0.0,1.0,0.9184,0.15207373,0.0
1.0,0.0,0.0,0.0,0.007142842,0.28571427,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.042514287,0.01843318,1.0
1.0,0.25,0.0,0.0,0.71000004,0.14285713,0.0,0.0,0.0,1.0,0.0,0.0,0.06666667,0.75,1.0,0.0,1.0,0.7114057,0.8525345,0.0
0.0,0.25,0.0,0.0,0.4471429,0.42857146,1.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.5,0.0,0.0,1.0,0.6445257,0.11520737,0.0
